"athlete","trainingDate","season","rpetl"
"Brandon Troxel",2015-08-27,"Fall 2015",170
"Aqeel al-Hossain",2015-08-27,"Fall 2015",170
"Darin Russell",2015-08-27,"Fall 2015",255
"Sahl al-Sader",2015-08-27,"Fall 2015",85
"Benjamin Babatunde",2015-08-28,"Fall 2015",0
"Joo Garand",2015-08-28,"Fall 2015",0
"Aiden Jaeger",2015-08-28,"Fall 2015",675
"Tony Cha",2015-08-28,"Fall 2015",540
"Kevin Querubin",2015-08-28,"Fall 2015",0
"Kordell Thompson",2015-08-28,"Fall 2015",0
"Joaquin Martinez",2015-08-28,"Fall 2015",135
"Rocky Mccarty",2015-08-28,"Fall 2015",675
"Keandre Johnson",2015-08-28,"Fall 2015",1215
"Scott Lucero",2015-08-28,"Fall 2015",0
"Max Zuniga",2015-08-28,"Fall 2015",810
"Torben Mcclelland",2015-08-28,"Fall 2015",1080
"Steve Galligan",2015-08-28,"Fall 2015",945
"Marzooq al-Fahs",2015-08-28,"Fall 2015",0
"Muhaajir al-Mirza",2015-08-28,"Fall 2015",675
"Shawn James",2015-08-28,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-08-28,"Fall 2015",270
"Taaha el-Qazi",2015-08-28,"Fall 2015",945
"Lawrence Tamayo",2015-08-28,"Fall 2015",540
"Husaam al-Ishak",2015-08-28,"Fall 2015",0
"Bishr el-Hamdan",2015-08-28,"Fall 2015",0
"Arun Bruckner",2015-08-28,"Fall 2015",0
"Jungsoo Moua",2015-08-28,"Fall 2015",0
"Mori Tani",2015-08-28,"Fall 2015",0
"Saleem el-Sham",2015-08-28,"Fall 2015",0
"Kong Meng Hutchinson",2015-08-28,"Fall 2015",0
"Naadir el-Mahdavi",2015-08-28,"Fall 2015",945
"Tayyib al-Wahab",2015-08-28,"Fall 2015",0
"Brandon Troxel",2015-08-28,"Fall 2015",1080
"Aqeel al-Hossain",2015-08-28,"Fall 2015",945
"Darin Russell",2015-08-28,"Fall 2015",810
"Sahl al-Sader",2015-08-28,"Fall 2015",270
"Benjamin Babatunde",2015-08-29,"Fall 2015",0
"Joo Garand",2015-08-29,"Fall 2015",0
"Aiden Jaeger",2015-08-29,"Fall 2015",0
"Tony Cha",2015-08-29,"Fall 2015",0
"Kevin Querubin",2015-08-29,"Fall 2015",0
"Kordell Thompson",2015-08-29,"Fall 2015",0
"Joaquin Martinez",2015-08-29,"Fall 2015",0
"Rocky Mccarty",2015-08-29,"Fall 2015",0
"Keandre Johnson",2015-08-29,"Fall 2015",0
"Scott Lucero",2015-08-29,"Fall 2015",0
"Max Zuniga",2015-08-29,"Fall 2015",0
"Torben Mcclelland",2015-08-29,"Fall 2015",0
"Steve Galligan",2015-08-29,"Fall 2015",0
"Marzooq al-Fahs",2015-08-29,"Fall 2015",0
"Muhaajir al-Mirza",2015-08-29,"Fall 2015",0
"Shawn James",2015-08-29,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-08-29,"Fall 2015",0
"Taaha el-Qazi",2015-08-29,"Fall 2015",0
"Lawrence Tamayo",2015-08-29,"Fall 2015",0
"Husaam al-Ishak",2015-08-29,"Fall 2015",0
"Bishr el-Hamdan",2015-08-29,"Fall 2015",0
"Arun Bruckner",2015-08-29,"Fall 2015",0
"Jungsoo Moua",2015-08-29,"Fall 2015",0
"Mori Tani",2015-08-29,"Fall 2015",0
"Saleem el-Sham",2015-08-29,"Fall 2015",0
"Kong Meng Hutchinson",2015-08-29,"Fall 2015",0
"Naadir el-Mahdavi",2015-08-29,"Fall 2015",0
"Tayyib al-Wahab",2015-08-29,"Fall 2015",0
"Brandon Troxel",2015-08-29,"Fall 2015",0
"Aqeel al-Hossain",2015-08-29,"Fall 2015",0
"Darin Russell",2015-08-29,"Fall 2015",0
"Sahl al-Sader",2015-08-29,"Fall 2015",0
"Benjamin Babatunde",2015-08-30,"Fall 2015",375
"Joo Garand",2015-08-30,"Fall 2015",300
"Aiden Jaeger",2015-08-30,"Fall 2015",225
"Tony Cha",2015-08-30,"Fall 2015",375
"Kevin Querubin",2015-08-30,"Fall 2015",0
"Kordell Thompson",2015-08-30,"Fall 2015",300
"Joaquin Martinez",2015-08-30,"Fall 2015",300
"Rocky Mccarty",2015-08-30,"Fall 2015",225
"Keandre Johnson",2015-08-30,"Fall 2015",0
"Scott Lucero",2015-08-30,"Fall 2015",300
"Max Zuniga",2015-08-30,"Fall 2015",75
"Torben Mcclelland",2015-08-30,"Fall 2015",75
"Steve Galligan",2015-08-30,"Fall 2015",150
"Marzooq al-Fahs",2015-08-30,"Fall 2015",300
"Muhaajir al-Mirza",2015-08-30,"Fall 2015",150
"Shawn James",2015-08-30,"Fall 2015",300
"Andrew Ortiz-Gonzales",2015-08-30,"Fall 2015",300
"Taaha el-Qazi",2015-08-30,"Fall 2015",375
"Lawrence Tamayo",2015-08-30,"Fall 2015",225
"Husaam al-Ishak",2015-08-30,"Fall 2015",225
"Bishr el-Hamdan",2015-08-30,"Fall 2015",300
"Arun Bruckner",2015-08-30,"Fall 2015",300
"Jungsoo Moua",2015-08-30,"Fall 2015",375
"Mori Tani",2015-08-30,"Fall 2015",225
"Saleem el-Sham",2015-08-30,"Fall 2015",225
"Kong Meng Hutchinson",2015-08-30,"Fall 2015",225
"Naadir el-Mahdavi",2015-08-30,"Fall 2015",75
"Tayyib al-Wahab",2015-08-30,"Fall 2015",300
"Brandon Troxel",2015-08-30,"Fall 2015",75
"Aqeel al-Hossain",2015-08-30,"Fall 2015",75
"Darin Russell",2015-08-30,"Fall 2015",75
"Sahl al-Sader",2015-08-30,"Fall 2015",225
"Benjamin Babatunde",2015-08-31,"Fall 2015",260
"Joo Garand",2015-08-31,"Fall 2015",260
"Aiden Jaeger",2015-08-31,"Fall 2015",270
"Tony Cha",2015-08-31,"Fall 2015",130
"Kevin Querubin",2015-08-31,"Fall 2015",260
"Kordell Thompson",2015-08-31,"Fall 2015",195
"Joaquin Martinez",2015-08-31,"Fall 2015",130
"Rocky Mccarty",2015-08-31,"Fall 2015",130
"Keandre Johnson",2015-08-31,"Fall 2015",110
"Scott Lucero",2015-08-31,"Fall 2015",130
"Max Zuniga",2015-08-31,"Fall 2015",130
"Torben Mcclelland",2015-08-31,"Fall 2015",130
"Steve Galligan",2015-08-31,"Fall 2015",90
"Marzooq al-Fahs",2015-08-31,"Fall 2015",195
"Muhaajir al-Mirza",2015-08-31,"Fall 2015",130
"Shawn James",2015-08-31,"Fall 2015",260
"Andrew Ortiz-Gonzales",2015-08-31,"Fall 2015",130
"Taaha el-Qazi",2015-08-31,"Fall 2015",130
"Lawrence Tamayo",2015-08-31,"Fall 2015",260
"Husaam al-Ishak",2015-08-31,"Fall 2015",130
"Bishr el-Hamdan",2015-08-31,"Fall 2015",195
"Arun Bruckner",2015-08-31,"Fall 2015",195
"Jungsoo Moua",2015-08-31,"Fall 2015",130
"Mori Tani",2015-08-31,"Fall 2015",130
"Saleem el-Sham",2015-08-31,"Fall 2015",195
"Kong Meng Hutchinson",2015-08-31,"Fall 2015",195
"Naadir el-Mahdavi",2015-08-31,"Fall 2015",130
"Tayyib al-Wahab",2015-08-31,"Fall 2015",325
"Brandon Troxel",2015-08-31,"Fall 2015",195
"Aqeel al-Hossain",2015-08-31,"Fall 2015",195
"Darin Russell",2015-08-31,"Fall 2015",110
"Sahl al-Sader",2015-08-31,"Fall 2015",65
"Benjamin Babatunde",2015-09-01,"Fall 2015",0
"Joo Garand",2015-09-01,"Fall 2015",0
"Aiden Jaeger",2015-09-01,"Fall 2015",675
"Tony Cha",2015-09-01,"Fall 2015",405
"Kevin Querubin",2015-09-01,"Fall 2015",0
"Kordell Thompson",2015-09-01,"Fall 2015",0
"Joaquin Martinez",2015-09-01,"Fall 2015",540
"Rocky Mccarty",2015-09-01,"Fall 2015",540
"Keandre Johnson",2015-09-01,"Fall 2015",1080
"Scott Lucero",2015-09-01,"Fall 2015",0
"Max Zuniga",2015-09-01,"Fall 2015",540
"Torben Mcclelland",2015-09-01,"Fall 2015",810
"Steve Galligan",2015-09-01,"Fall 2015",675
"Marzooq al-Fahs",2015-09-01,"Fall 2015",0
"Muhaajir al-Mirza",2015-09-01,"Fall 2015",675
"Shawn James",2015-09-01,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-09-01,"Fall 2015",405
"Taaha el-Qazi",2015-09-01,"Fall 2015",810
"Lawrence Tamayo",2015-09-01,"Fall 2015",405
"Husaam al-Ishak",2015-09-01,"Fall 2015",270
"Bishr el-Hamdan",2015-09-01,"Fall 2015",0
"Arun Bruckner",2015-09-01,"Fall 2015",0
"Jungsoo Moua",2015-09-01,"Fall 2015",0
"Mori Tani",2015-09-01,"Fall 2015",0
"Saleem el-Sham",2015-09-01,"Fall 2015",0
"Kong Meng Hutchinson",2015-09-01,"Fall 2015",810
"Naadir el-Mahdavi",2015-09-01,"Fall 2015",945
"Tayyib al-Wahab",2015-09-01,"Fall 2015",0
"Brandon Troxel",2015-09-01,"Fall 2015",945
"Aqeel al-Hossain",2015-09-01,"Fall 2015",540
"Darin Russell",2015-09-01,"Fall 2015",270
"Sahl al-Sader",2015-09-01,"Fall 2015",0
"Benjamin Babatunde",2015-09-02,"Fall 2015",255
"Joo Garand",2015-09-02,"Fall 2015",345
"Aiden Jaeger",2015-09-02,"Fall 2015",345
"Tony Cha",2015-09-02,"Fall 2015",160
"Kevin Querubin",2015-09-02,"Fall 2015",340
"Kordell Thompson",2015-09-02,"Fall 2015",400
"Joaquin Martinez",2015-09-02,"Fall 2015",290
"Rocky Mccarty",2015-09-02,"Fall 2015",425
"Keandre Johnson",2015-09-02,"Fall 2015",250
"Scott Lucero",2015-09-02,"Fall 2015",350
"Max Zuniga",2015-09-02,"Fall 2015",0
"Torben Mcclelland",2015-09-02,"Fall 2015",0
"Steve Galligan",2015-09-02,"Fall 2015",110
"Marzooq al-Fahs",2015-09-02,"Fall 2015",265
"Muhaajir al-Mirza",2015-09-02,"Fall 2015",175
"Shawn James",2015-09-02,"Fall 2015",400
"Andrew Ortiz-Gonzales",2015-09-02,"Fall 2015",400
"Taaha el-Qazi",2015-09-02,"Fall 2015",205
"Lawrence Tamayo",2015-09-02,"Fall 2015",90
"Husaam al-Ishak",2015-09-02,"Fall 2015",470
"Bishr el-Hamdan",2015-09-02,"Fall 2015",300
"Arun Bruckner",2015-09-02,"Fall 2015",315
"Jungsoo Moua",2015-09-02,"Fall 2015",310
"Mori Tani",2015-09-02,"Fall 2015",455
"Saleem el-Sham",2015-09-02,"Fall 2015",415
"Kong Meng Hutchinson",2015-09-02,"Fall 2015",415
"Naadir el-Mahdavi",2015-09-02,"Fall 2015",110
"Tayyib al-Wahab",2015-09-02,"Fall 2015",425
"Brandon Troxel",2015-09-02,"Fall 2015",0
"Aqeel al-Hossain",2015-09-02,"Fall 2015",0
"Darin Russell",2015-09-02,"Fall 2015",295
"Sahl al-Sader",2015-09-02,"Fall 2015",290
"Benjamin Babatunde",2015-09-03,"Fall 2015",255
"Joo Garand",2015-09-03,"Fall 2015",255
"Aiden Jaeger",2015-09-03,"Fall 2015",255
"Tony Cha",2015-09-03,"Fall 2015",170
"Kevin Querubin",2015-09-03,"Fall 2015",170
"Kordell Thompson",2015-09-03,"Fall 2015",255
"Joaquin Martinez",2015-09-03,"Fall 2015",340
"Rocky Mccarty",2015-09-03,"Fall 2015",255
"Keandre Johnson",2015-09-03,"Fall 2015",340
"Scott Lucero",2015-09-03,"Fall 2015",255
"Max Zuniga",2015-09-03,"Fall 2015",0
"Torben Mcclelland",2015-09-03,"Fall 2015",340
"Steve Galligan",2015-09-03,"Fall 2015",340
"Marzooq al-Fahs",2015-09-03,"Fall 2015",425
"Muhaajir al-Mirza",2015-09-03,"Fall 2015",255
"Shawn James",2015-09-03,"Fall 2015",255
"Andrew Ortiz-Gonzales",2015-09-03,"Fall 2015",340
"Taaha el-Qazi",2015-09-03,"Fall 2015",425
"Lawrence Tamayo",2015-09-03,"Fall 2015",340
"Husaam al-Ishak",2015-09-03,"Fall 2015",255
"Bishr el-Hamdan",2015-09-03,"Fall 2015",340
"Arun Bruckner",2015-09-03,"Fall 2015",340
"Jungsoo Moua",2015-09-03,"Fall 2015",85
"Mori Tani",2015-09-03,"Fall 2015",510
"Saleem el-Sham",2015-09-03,"Fall 2015",255
"Kong Meng Hutchinson",2015-09-03,"Fall 2015",255
"Naadir el-Mahdavi",2015-09-03,"Fall 2015",170
"Tayyib al-Wahab",2015-09-03,"Fall 2015",595
"Brandon Troxel",2015-09-03,"Fall 2015",425
"Aqeel al-Hossain",2015-09-03,"Fall 2015",0
"Darin Russell",2015-09-03,"Fall 2015",170
"Sahl al-Sader",2015-09-03,"Fall 2015",170
"Benjamin Babatunde",2015-09-04,"Fall 2015",360
"Joo Garand",2015-09-04,"Fall 2015",270
"Aiden Jaeger",2015-09-04,"Fall 2015",270
"Tony Cha",2015-09-04,"Fall 2015",180
"Kevin Querubin",2015-09-04,"Fall 2015",270
"Kordell Thompson",2015-09-04,"Fall 2015",180
"Joaquin Martinez",2015-09-04,"Fall 2015",270
"Rocky Mccarty",2015-09-04,"Fall 2015",270
"Keandre Johnson",2015-09-04,"Fall 2015",90
"Scott Lucero",2015-09-04,"Fall 2015",270
"Max Zuniga",2015-09-04,"Fall 2015",0
"Torben Mcclelland",2015-09-04,"Fall 2015",360
"Steve Galligan",2015-09-04,"Fall 2015",360
"Marzooq al-Fahs",2015-09-04,"Fall 2015",270
"Muhaajir al-Mirza",2015-09-04,"Fall 2015",270
"Shawn James",2015-09-04,"Fall 2015",360
"Andrew Ortiz-Gonzales",2015-09-04,"Fall 2015",180
"Taaha el-Qazi",2015-09-04,"Fall 2015",270
"Lawrence Tamayo",2015-09-04,"Fall 2015",450
"Husaam al-Ishak",2015-09-04,"Fall 2015",180
"Bishr el-Hamdan",2015-09-04,"Fall 2015",270
"Arun Bruckner",2015-09-04,"Fall 2015",360
"Jungsoo Moua",2015-09-04,"Fall 2015",90
"Mori Tani",2015-09-04,"Fall 2015",180
"Saleem el-Sham",2015-09-04,"Fall 2015",270
"Kong Meng Hutchinson",2015-09-04,"Fall 2015",180
"Naadir el-Mahdavi",2015-09-04,"Fall 2015",90
"Tayyib al-Wahab",2015-09-04,"Fall 2015",710
"Brandon Troxel",2015-09-04,"Fall 2015",270
"Aqeel al-Hossain",2015-09-04,"Fall 2015",360
"Darin Russell",2015-09-04,"Fall 2015",180
"Sahl al-Sader",2015-09-04,"Fall 2015",270
"Benjamin Babatunde",2015-09-05,"Fall 2015",0
"Joo Garand",2015-09-05,"Fall 2015",0
"Aiden Jaeger",2015-09-05,"Fall 2015",495
"Tony Cha",2015-09-05,"Fall 2015",0
"Kevin Querubin",2015-09-05,"Fall 2015",0
"Kordell Thompson",2015-09-05,"Fall 2015",0
"Joaquin Martinez",2015-09-05,"Fall 2015",660
"Rocky Mccarty",2015-09-05,"Fall 2015",1155
"Keandre Johnson",2015-09-05,"Fall 2015",1320
"Scott Lucero",2015-09-05,"Fall 2015",0
"Max Zuniga",2015-09-05,"Fall 2015",0
"Torben Mcclelland",2015-09-05,"Fall 2015",1320
"Steve Galligan",2015-09-05,"Fall 2015",990
"Marzooq al-Fahs",2015-09-05,"Fall 2015",0
"Muhaajir al-Mirza",2015-09-05,"Fall 2015",990
"Shawn James",2015-09-05,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-09-05,"Fall 2015",660
"Taaha el-Qazi",2015-09-05,"Fall 2015",1155
"Lawrence Tamayo",2015-09-05,"Fall 2015",660
"Husaam al-Ishak",2015-09-05,"Fall 2015",660
"Bishr el-Hamdan",2015-09-05,"Fall 2015",0
"Arun Bruckner",2015-09-05,"Fall 2015",0
"Jungsoo Moua",2015-09-05,"Fall 2015",0
"Mori Tani",2015-09-05,"Fall 2015",0
"Saleem el-Sham",2015-09-05,"Fall 2015",0
"Kong Meng Hutchinson",2015-09-05,"Fall 2015",495
"Naadir el-Mahdavi",2015-09-05,"Fall 2015",1155
"Tayyib al-Wahab",2015-09-05,"Fall 2015",0
"Brandon Troxel",2015-09-05,"Fall 2015",1155
"Aqeel al-Hossain",2015-09-05,"Fall 2015",1155
"Darin Russell",2015-09-05,"Fall 2015",1155
"Sahl al-Sader",2015-09-05,"Fall 2015",660
"Benjamin Babatunde",2015-09-06,"Fall 2015",0
"Joo Garand",2015-09-06,"Fall 2015",0
"Aiden Jaeger",2015-09-06,"Fall 2015",0
"Tony Cha",2015-09-06,"Fall 2015",0
"Kevin Querubin",2015-09-06,"Fall 2015",0
"Kordell Thompson",2015-09-06,"Fall 2015",0
"Joaquin Martinez",2015-09-06,"Fall 2015",0
"Rocky Mccarty",2015-09-06,"Fall 2015",0
"Keandre Johnson",2015-09-06,"Fall 2015",0
"Scott Lucero",2015-09-06,"Fall 2015",0
"Max Zuniga",2015-09-06,"Fall 2015",0
"Torben Mcclelland",2015-09-06,"Fall 2015",0
"Steve Galligan",2015-09-06,"Fall 2015",0
"Marzooq al-Fahs",2015-09-06,"Fall 2015",0
"Muhaajir al-Mirza",2015-09-06,"Fall 2015",0
"Shawn James",2015-09-06,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-09-06,"Fall 2015",0
"Taaha el-Qazi",2015-09-06,"Fall 2015",0
"Lawrence Tamayo",2015-09-06,"Fall 2015",0
"Husaam al-Ishak",2015-09-06,"Fall 2015",0
"Bishr el-Hamdan",2015-09-06,"Fall 2015",0
"Arun Bruckner",2015-09-06,"Fall 2015",0
"Jungsoo Moua",2015-09-06,"Fall 2015",0
"Mori Tani",2015-09-06,"Fall 2015",0
"Saleem el-Sham",2015-09-06,"Fall 2015",0
"Kong Meng Hutchinson",2015-09-06,"Fall 2015",0
"Naadir el-Mahdavi",2015-09-06,"Fall 2015",0
"Tayyib al-Wahab",2015-09-06,"Fall 2015",0
"Brandon Troxel",2015-09-06,"Fall 2015",0
"Aqeel al-Hossain",2015-09-06,"Fall 2015",0
"Darin Russell",2015-09-06,"Fall 2015",0
"Sahl al-Sader",2015-09-06,"Fall 2015",0
"Benjamin Babatunde",2015-09-07,"Fall 2015",130
"Joo Garand",2015-09-07,"Fall 2015",195
"Aiden Jaeger",2015-09-07,"Fall 2015",130
"Tony Cha",2015-09-07,"Fall 2015",195
"Kevin Querubin",2015-09-07,"Fall 2015",195
"Kordell Thompson",2015-09-07,"Fall 2015",65
"Joaquin Martinez",2015-09-07,"Fall 2015",65
"Rocky Mccarty",2015-09-07,"Fall 2015",65
"Keandre Johnson",2015-09-07,"Fall 2015",0
"Scott Lucero",2015-09-07,"Fall 2015",195
"Max Zuniga",2015-09-07,"Fall 2015",0
"Torben Mcclelland",2015-09-07,"Fall 2015",30
"Steve Galligan",2015-09-07,"Fall 2015",30
"Marzooq al-Fahs",2015-09-07,"Fall 2015",195
"Muhaajir al-Mirza",2015-09-07,"Fall 2015",30
"Shawn James",2015-09-07,"Fall 2015",195
"Andrew Ortiz-Gonzales",2015-09-07,"Fall 2015",130
"Taaha el-Qazi",2015-09-07,"Fall 2015",30
"Lawrence Tamayo",2015-09-07,"Fall 2015",65
"Husaam al-Ishak",2015-09-07,"Fall 2015",65
"Bishr el-Hamdan",2015-09-07,"Fall 2015",195
"Arun Bruckner",2015-09-07,"Fall 2015",260
"Jungsoo Moua",2015-09-07,"Fall 2015",195
"Mori Tani",2015-09-07,"Fall 2015",585
"Saleem el-Sham",2015-09-07,"Fall 2015",130
"Kong Meng Hutchinson",2015-09-07,"Fall 2015",195
"Naadir el-Mahdavi",2015-09-07,"Fall 2015",30
"Tayyib al-Wahab",2015-09-07,"Fall 2015",130
"Brandon Troxel",2015-09-07,"Fall 2015",30
"Aqeel al-Hossain",2015-09-07,"Fall 2015",30
"Darin Russell",2015-09-07,"Fall 2015",130
"Sahl al-Sader",2015-09-07,"Fall 2015",130
"Benjamin Babatunde",2015-09-08,"Fall 2015",150
"Joo Garand",2015-09-08,"Fall 2015",150
"Aiden Jaeger",2015-09-08,"Fall 2015",150
"Tony Cha",2015-09-08,"Fall 2015",225
"Kevin Querubin",2015-09-08,"Fall 2015",225
"Kordell Thompson",2015-09-08,"Fall 2015",75
"Joaquin Martinez",2015-09-08,"Fall 2015",60
"Rocky Mccarty",2015-09-08,"Fall 2015",375
"Keandre Johnson",2015-09-08,"Fall 2015",300
"Scott Lucero",2015-09-08,"Fall 2015",150
"Max Zuniga",2015-09-08,"Fall 2015",0
"Torben Mcclelland",2015-09-08,"Fall 2015",150
"Steve Galligan",2015-09-08,"Fall 2015",225
"Marzooq al-Fahs",2015-09-08,"Fall 2015",225
"Muhaajir al-Mirza",2015-09-08,"Fall 2015",225
"Shawn James",2015-09-08,"Fall 2015",225
"Andrew Ortiz-Gonzales",2015-09-08,"Fall 2015",225
"Taaha el-Qazi",2015-09-08,"Fall 2015",225
"Lawrence Tamayo",2015-09-08,"Fall 2015",150
"Husaam al-Ishak",2015-09-08,"Fall 2015",150
"Bishr el-Hamdan",2015-09-08,"Fall 2015",225
"Arun Bruckner",2015-09-08,"Fall 2015",150
"Jungsoo Moua",2015-09-08,"Fall 2015",300
"Mori Tani",2015-09-08,"Fall 2015",225
"Saleem el-Sham",2015-09-08,"Fall 2015",225
"Kong Meng Hutchinson",2015-09-08,"Fall 2015",225
"Naadir el-Mahdavi",2015-09-08,"Fall 2015",225
"Tayyib al-Wahab",2015-09-08,"Fall 2015",375
"Brandon Troxel",2015-09-08,"Fall 2015",300
"Aqeel al-Hossain",2015-09-08,"Fall 2015",150
"Darin Russell",2015-09-08,"Fall 2015",75
"Sahl al-Sader",2015-09-08,"Fall 2015",150
"Benjamin Babatunde",2015-09-09,"Fall 2015",0
"Joo Garand",2015-09-09,"Fall 2015",0
"Aiden Jaeger",2015-09-09,"Fall 2015",675
"Tony Cha",2015-09-09,"Fall 2015",405
"Kevin Querubin",2015-09-09,"Fall 2015",405
"Kordell Thompson",2015-09-09,"Fall 2015",0
"Joaquin Martinez",2015-09-09,"Fall 2015",0
"Rocky Mccarty",2015-09-09,"Fall 2015",675
"Keandre Johnson",2015-09-09,"Fall 2015",405
"Scott Lucero",2015-09-09,"Fall 2015",0
"Max Zuniga",2015-09-09,"Fall 2015",0
"Torben Mcclelland",2015-09-09,"Fall 2015",945
"Steve Galligan",2015-09-09,"Fall 2015",945
"Marzooq al-Fahs",2015-09-09,"Fall 2015",0
"Muhaajir al-Mirza",2015-09-09,"Fall 2015",540
"Shawn James",2015-09-09,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-09-09,"Fall 2015",540
"Taaha el-Qazi",2015-09-09,"Fall 2015",810
"Lawrence Tamayo",2015-09-09,"Fall 2015",405
"Husaam al-Ishak",2015-09-09,"Fall 2015",675
"Bishr el-Hamdan",2015-09-09,"Fall 2015",0
"Arun Bruckner",2015-09-09,"Fall 2015",0
"Jungsoo Moua",2015-09-09,"Fall 2015",0
"Mori Tani",2015-09-09,"Fall 2015",0
"Saleem el-Sham",2015-09-09,"Fall 2015",0
"Kong Meng Hutchinson",2015-09-09,"Fall 2015",810
"Naadir el-Mahdavi",2015-09-09,"Fall 2015",945
"Tayyib al-Wahab",2015-09-09,"Fall 2015",0
"Brandon Troxel",2015-09-09,"Fall 2015",1080
"Aqeel al-Hossain",2015-09-09,"Fall 2015",675
"Darin Russell",2015-09-09,"Fall 2015",405
"Sahl al-Sader",2015-09-09,"Fall 2015",675
"Benjamin Babatunde",2015-09-10,"Fall 2015",0
"Joo Garand",2015-09-10,"Fall 2015",0
"Aiden Jaeger",2015-09-10,"Fall 2015",0
"Tony Cha",2015-09-10,"Fall 2015",0
"Kevin Querubin",2015-09-10,"Fall 2015",0
"Kordell Thompson",2015-09-10,"Fall 2015",0
"Joaquin Martinez",2015-09-10,"Fall 2015",0
"Rocky Mccarty",2015-09-10,"Fall 2015",0
"Keandre Johnson",2015-09-10,"Fall 2015",0
"Scott Lucero",2015-09-10,"Fall 2015",0
"Max Zuniga",2015-09-10,"Fall 2015",0
"Torben Mcclelland",2015-09-10,"Fall 2015",0
"Steve Galligan",2015-09-10,"Fall 2015",0
"Marzooq al-Fahs",2015-09-10,"Fall 2015",0
"Muhaajir al-Mirza",2015-09-10,"Fall 2015",0
"Shawn James",2015-09-10,"Fall 2015",0
"Andrew Ortiz-Gonzales",2015-09-10,"Fall 2015",0
"Taaha el-Qazi",2015-09-10,"Fall 2015",0
"Lawrence Tamayo",2015-09-10,"Fall 2015",0
"Husaam al-Ishak",2015-09-10,"Fall 2015",0
"Bishr el-Hamdan",2015-09-10,"Fall 2015",0
"Arun Bruckner",2015-09-10,"Fall 2015",0
"Jungsoo Moua",2015-09-10,"Fall 2015",0
"Mori Tani",2015-09-10,"Fall 2015",0
"Saleem el-Sham",2015-09-10,"Fall 2015",0
"Kong Meng Hutchinson",2015-09-10,"Fall 2015",0
"Naadir el-Mahdavi",2015-09-10,"Fall 2015",0
"Tayyib al-Wahab",2015-09-10,"Fall 2015",0
"Brandon Troxel",2015-09-10,"Fall 2015",0
"Aqeel al-Hossain",2015-09-10,"Fall 2015",0
"Darin Russell",2015-09-10,"Fall 2015",0
"Sahl al-Sader",2015-09-10,"Fall 2015",0
"Benjamin Babatunde",2015-09-11,"Fall 2015",270
"Joo Garand",2015-09-11,"Fall 2015",420
"Aiden Jaeger",2015-09-11,"Fall 2015",300
"Tony Cha",2015-09-11,"Fall 2015",465
"Kevin Querubin",2015-09-11,"Fall 2015",405
"Kordell Thompson",2015-09-11,"Fall 2015",140
"Joaquin Martinez",2015-09-11,"Fall 2015",75
"Rocky Mccarty",2015-09-11,"Fall 2015",540
"Keandre Johnson",2015-09-11,"Fall 2015",120
"Scott Lucero",2015-09-11,"Fall 2015",540
"Max Zuniga",2015-09-11,"Fall 2015",0
"Torben Mcclelland",2015-09-11,"Fall 2015",75
"Steve Galligan",2015-09-11,"Fall 2015",450
"Marzooq al-Fahs",2015-09-11,"Fall 2015",465
"Muhaajir al-Mirza",2015-09-11,"Fall 2015",505
"Shawn James",2015-09-11,"Fall 2015",405
"Andrew Ortiz-Gonzales",2015-09-11,"Fall 2015",435
"Taaha el-Qazi",2015-09-11,"Fall 2015",345
"Lawrence Tamayo",2015-09-11,"Fall 2015",405
"Husaam al-Ishak",2015-09-11,"Fall 2015",325
"Bishr el-Hamdan",2015-09-11,"Fall 2015",480
"Arun Bruckner",2015-09-11,"Fall 2015",345
"Jungsoo Moua",2015-09-11,"Fall 2015",390
"Mori Tani",2015-09-11,"Fall 2015",480
"Saleem el-Sham",2015-09-11,"Fall 2015",825
"Kong Meng Hutchinson",2015-09-11,"Fall 2015",75
"Naadir el-Mahdavi",2015-09-11,"Fall 2015",285
"Tayyib al-Wahab",2015-09-11,"Fall 2015",375
"Brandon Troxel",2015-09-11,"Fall 2015",75
"Aqeel al-Hossain",2015-09-11,"Fall 2015",135
"Darin Russell",2015-09-11,"Fall 2015",75
"Sahl al-Sader",2015-09-11,"Fall 2015",465
"Benjamin Babatunde",2015-09-12,"Fall 2015",420
"Joo Garand",2015-09-12,"Fall 2015",420
"Aiden Jaeger",2015-09-12,"Fall 2015",630
"Tony Cha",2015-09-12,"Fall 2015",420
"Kevin Querubin",2015-09-12,"Fall 2015",525
"Kordell Thompson",2015-09-12,"Fall 2015",200
"Joaquin Martinez",2015-09-12,"Fall 2015",315
"Rocky Mccarty",2015-09-12,"Fall 2015",420
"Keandre Johnson",2015-09-12,"Fall 2015",0
"Scott Lucero",2015-09-12,"Fall 2015",525
"Max Zuniga",2015-09-12,"Fall 2015",0
"Torben Mcclelland",2015-09-12,"Fall 2015",420
"Steve Galligan",2015-09-12,"Fall 2015",525
"Marzooq al-Fahs",2015-09-12,"Fall 2015",420
"Muhaajir al-Mirza",2015-09-12,"Fall 2015",525
